"id";"route_no";"address";"bus_no"
2001;1;"kamla Park";" MP04AF7992"
2002;1;"Kamla Park";"MP04HI7328"
2003;1;"Khanugaon";" MP04UA2377"
2004;1;"Koh E Fiza";" MP04BQ8436"
2005;1;"Lalghati";" MP04HW8686"
2006;1;"Link Road No.1";" MP04SO4171"
2007;1;"Moti Masjid";" MP04HW8686"
2008;1;"Paripark";" MP04PE8560"
2009;1;"Peer Gate";" MP04RB5238"
2011;1;"Royal Market";" MP04CP6918"
2012;1;"Shajanabad Pani Tanki";" MP04PK0543"
2013;1;"Taj Mahal";" MP04ID3608"
2014;1;"Thana";" MP04LN4647"
2016;2;"Akriti Eco Coity";" MP04BT8628"
2017;2;"Aura Mall";" MP04OS6917"
2018;2;"Danish";" MP04CR6329"
2020;2;"Rohit Nagar";" MP04IS5071"
2021;2;"Shivay Complex";" MP04YX2577"
2022;2;"Trilanga";" MP04OG8176"
2023;3;"Baaghsewaniya Police Station";" MP04VV2242"
2024;3;"Central Plaza";" MP04YW9041"
2025;3;"Global Park City";" MP04VQ2964"
2026;3;"Mount Carmel";" MP04CY7091"
2027;3;"Raja Bhoj";" MP04KT7977"
2028;3;"Rameshwaram";" MP04BT9324"
2029;3;"Signature 360";" MP04SK2059"
2030;3;"Spring Valley";" MP04VX2347"
2031;4;"Adhaarshila";" MP04EE0821"
2032;4;"Amrai";" MP04BK2997"
2033;4;"Barkheda Pathani";" MP04ZR4806"
2035;4;"Rishipuram";" MP04IS2915"
2036;4;"Sagar Public School";" MP04SS0606"
2037;4;"Vijay Market";" MP04QK9997"
2038;5;"Gulab Garden";" MP04YL9733"
2039;5;"Higher Secondary Square";" MP04HP2146"
2040;5;"Panchvati";" MP04YO6106"
2041;5;"Piplani";" MP04SB6142"
2042;5;"Railway Colony";" MP04FN3509"
2043;5;"Shakti Nagar Complex";" MP04PY1524"
2044;6;"Awadhpuri Chouraha";" MP04HF9134"
2045;6;"Gopal Nagar";" MP04ET7430"
2046;6;"Sos";" MP04PD4776"
2047;6;"Vidya Sagar College";" MP04GI7149"
2048;7;"10.1/2";" MP04IQ9080"
2049;7;"11 No";" MP04TK0155"
2051;7;"Dana Pani";" MP04MR7895"
2052;7;"Fracture Hospital";" MP04QC0924"
2053;7;"Habibganj Naka";" MP04PB9516"
2054;7;"Narmada Hospital";" MP04YF9908"
2055;7;"Pragati Petrol Pump";" MP04DU4052"
2056;7;"Sai Board";" MP04GA0515"
2057;8;"Chetak Bridge";" MP04FG0450"
2058;8;"Jyoti Talkies";" MP04YP1575"
2059;9;"5 No Dudh Dairy";" MP04JU4150"
2060;9;"6 No";" MP04YD7695"
2061;9;"Bhadbahada";" MP04YN5837"
2062;9;"Board Office";" MP04IQ2989"
2063;9;"Depo";" MP04LZ3525"
2064;9;"Jawahar Chowk";" MP04FK0054"
2065;9;"Mata Mandir";" MP04OR8804"
2066;9;"Neelbad";" MP04AF7992"
2067;9;"Police Line";" MP04YA8326"
2068;9;"Rangmahal Chouraha";" MP04PX6784"
2069;9;"Roshanpura Chouraha";" MP04HD4106"
2070;9;"St Mary";" MP04BK0207"
2071;9;"Teen Shed";" MP04IX2930"
2072;10;"Geetanjali  Complex";" MP04TJ6797"
2073;10;"Kamla Naagr Thana";" MP04XU9516"
2074;10;"Manit";" MP04SW7046"
2075;10;"Nehru Nagar";" MP04IG8197"
2076;10;"Pnt";" MP04SR3873"
2077;10;"Second Stop Bus No.";" MP04RA3890"
2078;10;"Vaishali Nagar";" MP04RU5056"
2080;11;"Bajariya Police Station";" MP04GT4214"
2082;11;"Foota Maqbara";" MP04KD6766"
2083;11;"Ganesh Nagar";" MP04EB8437"
2084;11;"Jaishree Hostel";" MP04AV4719"
2085;11;"New Sabji Mandi";" MP04EX7709"
